电影名称,电影评分,评分人数,一句话描述,豆瓣链接
致命魔术,8.8,396905,孪生蝙蝠侠大战克隆金刚狼。,https://movie.douban.com/subject/1780330/
本杰明·巴顿奇事,8.8,450389,在时间之河里感受溺水之苦。,https://movie.douban.com/subject/1485260/
西西里的美丽传说,8.8,414314,美丽无罪。,https://movie.douban.com/subject/1292402/
音乐之声,8.9,265368,用音乐化解仇恨，让歌声串起美好。,https://movie.douban.com/subject/1294408/
勇敢的心,8.8,328458,史诗大片的典范。,https://movie.douban.com/subject/1294639/
拯救大兵瑞恩,8.9,280364,美利坚精神输出大片No1.,https://movie.douban.com/subject/1292849/
让子弹飞,8.7,730939,你给我翻译翻译，神马叫做TMD的惊喜。,https://movie.douban.com/subject/3742360/
黑客帝国,8.8,326983,视觉革命。,https://movie.douban.com/subject/1291843/
低俗小说,8.8,387168,故事的高级讲法。,https://movie.douban.com/subject/1291832/
看不见的客人,8.7,425586,你以为你以为的就是你以为的。,https://movie.douban.com/subject/26580232/
剪刀手爱德华,8.7,550866,浪漫忧郁的成人童话。,https://movie.douban.com/subject/1292370/
沉默的羔羊,8.7,401894,安东尼·霍普金斯的顶级表演。,https://movie.douban.com/subject/1293544/
蝴蝶效应,8.7,436926,人的命运被自己瞬间的抉择改变。,https://movie.douban.com/subject/1292343/
大闹天宫,9.3,122863,经典之作，历久弥新。,https://movie.douban.com/subject/1418019/
入殓师,8.8,350123,死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://movie.douban.com/subject/2149806/
末代皇帝,9.0,208609,“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://movie.douban.com/subject/1293172/
春光乍泄,8.8,286670,爱情纠缠，男女一致。,https://movie.douban.com/subject/1292679/
心灵捕手,8.8,314353,人生中应该拥有这样的一段豁然开朗。,https://movie.douban.com/subject/1292656/
玛丽和马克思,8.9,253368,你是我最好的朋友，你是我唯一的朋友 。,https://movie.douban.com/subject/3072124/
阳光灿烂的日子,8.8,312698,一场华丽的意淫。,https://movie.douban.com/subject/1291875/
哈利·波特与魔法石,8.8,312756,童话世界的开端。,https://movie.douban.com/subject/1295038/
布达佩斯大饭店,8.8,374262,小清新的故事里注入了大历史的情怀。,https://movie.douban.com/subject/11525673/
幽灵公主,8.8,267383,人与自然的战争史诗。,https://movie.douban.com/subject/1297359/
第六感,8.8,266093,深入内心的恐怖，出人意料的结局。,https://movie.douban.com/subject/1297630/
禁闭岛,8.7,414635,昔日翩翩少年，今日大腹便便。,https://movie.douban.com/subject/2334904/
重庆森林,8.7,380128,寂寞没有期限。,https://movie.douban.com/subject/1291999/
猫鼠游戏,8.8,274205,骗子大师和执著警探的你追我跑故事。 ,https://movie.douban.com/subject/1305487/
狩猎,9.0,153904,人言可畏。,https://movie.douban.com/subject/6985810/
致命ID,8.7,364881,最不可能的那个人永远是最可能的。,https://movie.douban.com/subject/1297192/
断背山,8.7,363527,每个人心中都有一座断背山。,https://movie.douban.com/subject/1418834/
大鱼,8.7,285541,抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://movie.douban.com/subject/1291545/
甜蜜蜜,8.8,258827,相逢只要一瞬间，等待却像是一辈子。,https://movie.douban.com/subject/1305164/
穿条纹睡衣的男孩,8.9,177863,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://movie.douban.com/subject/3008247/
射雕英雄传之东成西就,8.7,311744,百看不厌。 ,https://movie.douban.com/subject/1316510/
加勒比海盗,8.6,397553,约翰尼·德普的独角戏。,https://movie.douban.com/subject/1298070/
告白,8.7,386376,没有一人完全善，也没有一人完全恶。,https://movie.douban.com/subject/4268598/
一一,8.9,174900,我们都曾经是一一。,https://movie.douban.com/subject/1292434/
阳光姐妹淘,8.8,304911,再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://movie.douban.com/subject/4917726/
阿凡达,8.6,598953,绝对意义上的美轮美奂。,https://movie.douban.com/subject/1652587/
摩登时代,9.2,105386,大时代中的人生，小人物的悲喜。,https://movie.douban.com/subject/1294371/
上帝之城,8.9,173018,被上帝抛弃了的上帝之城。,https://movie.douban.com/subject/1292208/
爱在黎明破晓前,8.7,252082,缘分是个连绵词，最美不过一瞬。,https://movie.douban.com/subject/1296339/
消失的爱人,8.7,409635,年度最佳date movie。,https://movie.douban.com/subject/21318488/
风之谷,8.8,198741,动画片的圣经。,https://movie.douban.com/subject/1291585/
侧耳倾听,8.8,194997,少女情怀总是诗。,https://movie.douban.com/subject/1297052/
爱在日落黄昏时,8.8,223834,九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://movie.douban.com/subject/1291990/
超脱,8.8,199787,穷尽一生，我们要学会的，不过是彼此拥抱。,https://movie.douban.com/subject/5322596/
倩女幽魂,8.6,296376,两张绝世的脸。 ,https://movie.douban.com/subject/1297447/
恐怖直播,8.7,261004,恐怖分子的“秋菊打官司”。,https://movie.douban.com/subject/21360417/
红辣椒,8.9,156707,梦的勾结。,https://movie.douban.com/subject/1865703/
小森林 夏秋篇,8.9,159739,那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://movie.douban.com/subject/25814705/
喜剧之王,8.6,367657,我是一个演员。,https://movie.douban.com/subject/1302425/
菊次郎的夏天,8.7,212684,从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://movie.douban.com/subject/1293359/
驯龙高手,8.7,324923,和谐的生活离不开摸头与被摸头。,https://movie.douban.com/subject/2353023/
幸福终点站,8.7,251650,有时候幸福需要等一等。 ,https://movie.douban.com/subject/1292274/
萤火虫之墓,8.7,227191,幸福是生生不息，却难以触及的远。 ,https://movie.douban.com/subject/1293318/
借东西的小人阿莉埃蒂,8.7,244732,曾经的那段美好会沉淀为一辈子的记忆。,https://movie.douban.com/subject/4202302/
神偷奶爸,8.5,434479,Mr. I Don't Care其实也有Care的时候。,https://movie.douban.com/subject/3287562/
岁月神偷,8.6,336222,岁月流逝，来日可追。,https://movie.douban.com/subject/3792799/
七武士,9.2,87271,时代悲歌。,https://movie.douban.com/subject/1295399/
杀人回忆,8.7,233985,关于连环杀人悬案的集体回忆。,https://movie.douban.com/subject/1300299/
喜宴,8.8,157672,中国家庭的喜怒哀乐忍。,https://movie.douban.com/subject/1303037/
贫民窟的百万富翁,8.5,430034,上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,https://movie.douban.com/subject/2209573/
电锯惊魂,8.7,220660,真相就在眼前。,https://movie.douban.com/subject/1417598/
怪兽电力公司,8.6,276185,不要给它起名字，起了名字就有感情了。,https://movie.douban.com/subject/1291579/
谍影重重3,8.7,201133,像吃了苏打饼一样干脆的电影。,https://movie.douban.com/subject/1578507/
真爱至上,8.5,346006,爱，是个动词。,https://movie.douban.com/subject/1292401/
东邪西毒,8.6,283029,电影诗。,https://movie.douban.com/subject/1292328/
记忆碎片,8.5,309764,一个针管引发的血案。,https://movie.douban.com/subject/1304447/
黑天鹅,8.5,460685,黑暗之美。,https://movie.douban.com/subject/1978709/
海洋,9.0,105288,大海啊，不全是水。,https://movie.douban.com/subject/3443389/
疯狂原始人,8.7,412148,老少皆宜，这就是好莱坞动画的魅力。,https://movie.douban.com/subject/1907966/
雨人,8.6,227969,生活在自己的世界里，也可以让周围的人显得可笑和渺小。,https://movie.douban.com/subject/1291870/
小森林 冬春篇,8.9,138200,尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://movie.douban.com/subject/25814707/
卢旺达饭店,8.9,134876,当这个世界闭上双眼，他却敞开了怀抱。,https://movie.douban.com/subject/1291822/
哈利·波特与死亡圣器(下),8.7,308458,10年的完美句点。,https://movie.douban.com/subject/3011235/
英雄本色,8.6,194937,英雄泪短，兄弟情长。 ,https://movie.douban.com/subject/1297574/
7号房的礼物,8.7,202772,《我是山姆》的《美丽人生》。,https://movie.douban.com/subject/10777687/
萤火之森,8.8,184053,触不到的恋人。,https://movie.douban.com/subject/5989818/
请以你的名字呼唤我,8.8,208762,沉醉在电影的情感和视听氛围中无法自拔。,https://movie.douban.com/subject/26799731/
虎口脱险,8.9,117068,永远看不腻的喜剧。,https://movie.douban.com/subject/1296909/
燃情岁月,8.7,159970,传奇，不是每个人都可以拥有。,https://movie.douban.com/subject/1295865/
心迷宫,8.6,206914,荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,https://movie.douban.com/subject/25917973/
荒蛮故事,8.8,165473,始于荒诞，止于更荒诞。,https://movie.douban.com/subject/24750126/
傲慢与偏见,8.5,339735,爱是摈弃傲慢与偏见之后的曙光。,https://movie.douban.com/subject/1418200/
海边的曼彻斯特,8.6,227691,我们都有权利不与自己的过去和解。,https://movie.douban.com/subject/25980443/
教父3,8.8,147865,任何信念的力量，都无法改变命运。,https://movie.douban.com/subject/1294240/
超能陆战队,8.6,422037,Balalala~~~,https://movie.douban.com/subject/11026735/
唐伯虎点秋香,8.4,383698,华太师是黄霑，吴镇宇四大才子之一。,https://movie.douban.com/subject/1306249/
纵横四海,8.7,167823,香港浪漫主义警匪动作片的巅峰之作。,https://movie.douban.com/subject/1295409/
恋恋笔记本,8.5,316494,爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,https://movie.douban.com/subject/1309163/
完美的世界,9.0,92168,坏人的好总是比好人的好来得更感人。,https://movie.douban.com/subject/1300992/
玩具总动员3,8.8,212576,跨度十五年的欢乐与泪水。,https://movie.douban.com/subject/1858711/
蝙蝠侠：黑暗骑士崛起,8.6,327667,诺兰就是保证。,https://movie.douban.com/subject/3395373/
花样年华,8.5,274362,偷情本没有这样美。,https://movie.douban.com/subject/1291557/
时空恋旅人,8.6,230806,把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://movie.douban.com/subject/10577869/
魂断蓝桥,8.8,141059,中国式内在的美国电影。,https://movie.douban.com/subject/1293964/
猜火车,8.5,268654,不可猜的青春迷笛。 ,https://movie.douban.com/subject/1292528/
穿越时空的少女,8.6,203367,爱上未来的你。 ,https://movie.douban.com/subject/1937946/
雨中曲,9.0,101699,骨灰级歌舞片。,https://movie.douban.com/subject/1293460/
达拉斯买家俱乐部,8.7,206672,Jared Leto的腿比女人还美！,https://movie.douban.com/subject/1793929/
二十二,8.7,120076,有一些东西不应该被遗忘。,https://movie.douban.com/subject/26430107/
我是山姆,8.8,117273,爱并不需要智商 。,https://movie.douban.com/subject/1306861/
人工智能,8.6,210281,对爱的执着，可以超越一切。,https://movie.douban.com/subject/1302827/
冰川时代,8.5,302664,松鼠才是角儿。,https://movie.douban.com/subject/1291578/
无人知晓,9.1,79844,我的平常生活就是他人的幸福。,https://movie.douban.com/subject/1292337/
浪潮,8.7,146017,世界离独裁只有五天。,https://movie.douban.com/subject/2297265/
血战钢锯岭,8.7,361151,优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://movie.douban.com/subject/26325320/
爆裂鼓手,8.6,264573,这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,https://movie.douban.com/subject/25773932/
朗读者,8.5,297767,当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,https://movie.douban.com/subject/2213597/
香水,8.4,303131,一个单凭体香达到高潮的男人。,https://movie.douban.com/subject/1760622/
罗生门,8.7,140221,人生的N种可能性。,https://movie.douban.com/subject/1291879/
未麻的部屋,8.8,111930,好的剧本是，就算你猜到了结局也猜不到全部。,https://movie.douban.com/subject/1395091/
阿飞正传,8.5,231396,王家卫是一种风格，张国荣是一个代表。,https://movie.douban.com/subject/1305690/
被解救的姜戈,8.6,285071,热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://movie.douban.com/subject/6307447/
可可西里,8.7,142158,坚硬的信仰。,https://movie.douban.com/subject/1308857/
一次别离,8.7,144507,只有有信仰的人才能说出事实真相。,https://movie.douban.com/subject/5964718/
头脑特工队,8.7,258836,愿我们都不用长大，每一座城堡都能永远存在。,https://movie.douban.com/subject/10533913/
恐怖游轮,8.4,364309,不要企图在重复中寻找已经失去的爱。,https://movie.douban.com/subject/3011051/
追随,8.9,89857,诺兰的牛逼来源于内心散发出的恐惧。,https://movie.douban.com/subject/1397546/
撞车,8.6,188107,天使与魔鬼的冲撞。,https://movie.douban.com/subject/1388216/
战争之王,8.6,189326,做一颗让别人需要你的棋子。,https://movie.douban.com/subject/1419936/
房间,8.8,177407,被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,https://movie.douban.com/subject/25724855/
地球上的星星,8.8,94965,天使保护事件始末。,https://movie.douban.com/subject/2363506/
梦之安魂曲,8.7,122010,一场没有春天的噩梦。,https://movie.douban.com/subject/1292270/
牯岭街少年杀人事件,8.8,118669,弱者送给弱者的一刀。,https://movie.douban.com/subject/1292329/
魔女宅急便,8.5,216684,宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,https://movie.douban.com/subject/1307811/
你的名字。,8.4,545361,穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,https://movie.douban.com/subject/26683290/
谍影重重,8.5,210818,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,https://movie.douban.com/subject/1304102/
忠犬八公物语,9.0,68835,养狗三日，便会对你终其一生。,https://movie.douban.com/subject/1959195/
模仿游戏,8.6,284064,他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://movie.douban.com/subject/10463953/
谍影重重2,8.6,175099,谁说王家卫镜头很晃？,https://movie.douban.com/subject/1308767/
一个叫欧维的男人决定去死,8.7,140056,惠及一生的美丽。,https://movie.douban.com/subject/26628357/
青蛇,8.4,245741,人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,https://movie.douban.com/subject/1303394/
惊魂记,8.9,93175,故事的反转与反转，分裂电影的始祖。,https://movie.douban.com/subject/1293181/
完美陌生人,8.6,230056, ,https://movie.douban.com/subject/26614893/
哪吒闹海,8.9,90956,想你时你在闹海。,https://movie.douban.com/subject/1307315/
再次出发之纽约遇见你,8.5,191916,爱我就给我看你的播放列表。,https://movie.douban.com/subject/6874403/
小萝莉的猴神大叔,8.5,185470, ,https://movie.douban.com/subject/26393561/
东京物语,9.2,57154,东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,https://movie.douban.com/subject/1291568/
黑客帝国3：矩阵革命,8.5,173165,不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://movie.douban.com/subject/1302467/
源代码,8.3,442133,邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,https://movie.douban.com/subject/3075287/
